MJD,FAST_count,Effelsberg_count,uGMRT_count,FAST_color,Effelsberg_color,uGMRT_color
59385.0,0,0.0,0.0,none,none,none
59386.0,0,0.0,0.0,none,none,none
59387.0,0,0.0,0.0,none,none,none
59388.0,0,0.0,0.0,none,none,none
59389.0,0,0.0,0.0,none,none,none
59390.0,0,0.0,0.0,none,none,none
59391.0,0,0.0,0.0,none,none,none
59392.0,0,0.0,0.0,none,none,none
59393.0,0,0.0,0.0,none,none,none
59394.0,0,0.0,0.0,none,none,none
59395.0,0,0.0,0.0,none,none,none
59396.0,0,0.0,0.0,none,none,none
59397.0,0,0.0,0.0,none,none,none
59398.0,0,0.0,0.0,none,none,none
59399.0,0,0.0,0.0,none,none,none
59400.0,0,0.0,0.0,none,none,none
59401.0,0,0.0,0.0,none,none,none
59402.0,0,0.0,0.0,none,none,none
59403.0,0,0.0,0.0,none,none,none
59404.0,0,0.0,0.0,none,none,none
59405.0,0,0.0,0.0,none,none,none
59406.0,0,0.0,0.0,none,none,none
59407.0,0,0.0,0.0,none,none,none
59408.0,0,0.0,0.0,none,none,none
59409.0,0,0.0,0.0,none,none,none
59410.0,0,0.0,0.0,none,none,none
59411.0,0,0.0,0.0,none,none,none
59412.0,0,0.0,0.0,none,none,none
59413.0,0,0.0,0.0,none,none,none
59414.0,0,0.0,0.0,none,none,none
59415.0,0,0.0,0.0,none,none,none
59416.0,0,0.0,0.0,none,none,none
59417.0,0,0.0,0.0,none,none,none
59418.0,0,0.0,0.0,none,none,none
59419.0,0,0.0,0.0,none,none,none
59420.0,0,0.0,0.0,none,none,none
59421.0,0,0.0,0.0,none,none,none
59422.0,0,0.0,0.0,none,none,none
59423.0,0,0.0,0.0,none,none,none
59424.0,0,0.0,0.0,none,none,none
59425.0,0,0.0,0.0,none,none,none
59426.0,0,0.0,0.0,none,none,none
59427.0,0,0.0,0.0,none,none,none
59428.0,0,0.0,0.0,none,none,none
59429.0,0,0.0,0.0,none,none,none
59430.0,0,0.0,0.0,none,none,none
59431.0,0,0.0,0.0,none,none,none
59432.0,0,0.0,0.0,none,none,none
59433.0,0,0.0,0.0,none,none,none
59434.0,0,0.0,0.0,none,none,none
59435.0,0,0.0,0.0,none,none,none
59436.0,0,0.0,0.0,none,none,none
59437.0,0,0.0,0.0,none,none,none
59438.0,0,0.0,0.0,none,none,none
59439.0,0,0.0,0.0,none,none,none
59440.0,0,0.0,0.0,none,none,none
59441.0,0,0.0,0.0,none,none,none
59442.0,0,0.0,0.0,none,none,none
59443.0,0,0.0,0.0,none,none,none
59444.0,0,0.0,0.0,none,none,none
59445.0,0,0.0,0.0,none,none,none
59446.0,0,0.0,0.0,none,none,none
59447.0,0,0.0,0.0,none,none,none
59448.0,0,0.0,0.0,none,none,none
59449.0,0,0.0,0.0,none,none,none
59450.0,0,0.0,0.0,none,none,none
59451.0,0,0.0,0.0,none,none,none
59452.0,0,0.0,0.0,none,none,none
59453.0,0,0.0,0.0,none,none,none
59454.0,0,0.0,0.0,none,none,none
59455.0,0,0.0,0.0,none,none,none
59456.0,0,0.0,0.0,none,none,none
59457.0,0,0.0,0.0,none,none,none
59458.0,0,0.0,0.0,none,none,none
59459.0,0,0.0,0.0,none,none,none
59460.0,0,0.0,0.0,none,none,none
59461.0,0,0.0,0.0,none,none,none
59462.0,0,0.0,0.0,none,none,none
59463.0,0,0.0,0.0,none,none,none
59464.0,0,0.0,0.0,none,none,none
59465.0,0,0.0,0.0,none,none,none
59466.0,0,0.0,0.0,none,none,none
59467.0,0,0.0,0.0,none,none,none
59468.0,0,0.0,0.0,none,none,none
59469.0,0,0.0,0.0,none,none,none
59470.0,0,0.0,0.0,none,none,none
59471.0,0,0.0,0.0,none,none,none
59472.0,0,0.0,0.0,none,none,none
59473.0,0,0.0,0.0,none,none,none
59474.0,0,0.0,0.0,none,none,none
59475.0,0,0.0,0.0,none,none,none
59476.0,0,0.0,0.0,none,none,none
59477.0,0,0.0,0.0,none,none,none
59478.0,0,0.0,0.0,none,none,none
59479.0,0,0.0,0.0,none,none,none
59480.0,0,0.0,0.0,none,none,none
59481.0,0,0.0,0.0,none,none,none
59482.0,35,0.0,0.0,grey,none,none
59483.0,72,0.0,0.0,orange,none,none
59484.0,232,0.0,0.0,blue,none,none
59485.0,542,0.0,0.0,orange,none,none
